771,OTU771,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GU119438.1.1393,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
267,OTU267,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,GU145420.1.1491,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
132,OTU132,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GU145455.1.1523,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1546,OTU1546,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,GU145517.1.1480,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
282,OTU282,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,GU230411.1.1482,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
4109,OTU4109,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Formosa,GU230416.1.1482,g_Formosa,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Formosa;
58,OTU58,Archaea,Thaumarchaeota,Marine Group I,,,,GU234305.1.1334,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
526,OTU526,Archaea,Thaumarchaeota,Marine Group I,,,,GU234599.1.1319,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;
1202,OTU1202,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,GU234821.1.1376,f_JL-ETNP-Y6,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
165,OTU165,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU234848.1.1327,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
636,OTU636,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,GU234872.1.1374,f_ZD0405,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
1240,OTU1240,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,ZD0405,,GU235070.1.1379,f_ZD0405,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
1407,OTU1407,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,GU235112.1.1356,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
1382,OTU1382,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,GU235229.1.1374,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
1603,OTU1603,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum,GU235453.1.1363,g_Pseudospirillum,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;BD1-7 clade;
1476,OTU1476,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Polaribacter,GU235633.1.1364,g_Polaribacter,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter;
871,OTU871,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,GU235804.1.1382,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
1321,OTU1321,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,GU235809.1.1374,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
2703,OTU2703,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Gramella,GU291860.1.1385,g_Gramella,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gramella;
2026,OTU2026,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GU361122.1.1487,g_Halomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
257,OTU257,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GU451676.1.1235,g_Alteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
1408,OTU1408,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,OM60(NOR5) clade,GU474844.39782.41307,g_OM60(NOR5) clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;OM60(NOR5) clade;
801,OTU801,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,GU553801.1.1400,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
2442,OTU2442,Archaea,Thaumarchaeota,Marine Group I,Order Incertae Sedis,Family Incertae Sedis,Candidatus Nitrosopumilus,GU553802.1.1446,g_Candidatus Nitrosopumilus,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;
2227,OTU2227,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,GU584161.1.1499,g_Cobetia,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;
182,OTU182,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940747.1.1343,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
126,OTU126,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,GU940773.1.1334,f_mitochondria,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
736,OTU736,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,GU940873.1.1401,f_NS9 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;
162,OTU162,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940897.1.1343,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1797,OTU1797,Bacteria,Cyanobacteria,Chloroplast,,,,GU940969.1.1355,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1279,OTU1279,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GU940987.1.1428,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
720,OTU720,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,GU940989.1.1358,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
1758,OTU1758,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,GU941026.1.1315,f_mitochondria,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;
52,OTU52,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU941067.1.1343,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
2410,OTU2410,Bacteria,Cyanobacteria,Chloroplast,,,,GU941076.1.1291,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1285,OTU1285,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,HM057630.1.1500,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
828,OTU828,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,HM057641.1.1455,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
1840,OTU1840,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade NAC11-7 lineage,HM057668.1.1437,g_Roseobacter clade NAC11-7 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter;
2811,OTU2811,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade AS-21 lineage,HM057673.1.1435,g_Roseobacter clade AS-21 lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lentibacter;
3172,OTU3172,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,HM057677.1.1487,g_Arcobacter,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured;
3641,OTU3641,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,HM057681.1.1486,g_Arcobacter,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured;
1011,OTU1011,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HM057716.1.1496,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
978,OTU978,Bacteria,Cyanobacteria,Chloroplast,,,,HM057721.1.1451,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1966,OTU1966,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,HM057728.1.1480,g_Thalassospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;
3803,OTU3803,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,HM057798.1.1502,g_Arcobacter,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;uncultured;
1022,OTU1022,Bacteria,Bacteroidetes,Cytophagia,Order III Incertae Sedis,Family Incertae Sedis,Balneola,HM057801.1.1519,g_Balneola,Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Balneola;
929,OTU929,Archaea,Thaumarchaeota,Marine Group I,,,,HM103738.1.947,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1922,OTU1922,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,HM117554.1.1400,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
3291,OTU3291,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,HM127167.1.1409,g_Sphingobium,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
950,OTU950,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,HM129439.1.1414,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;
2702,OTU2702,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,HM142467.1.1498,g_Pseudoalteromonas,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
1325,OTU1325,Bacteria,Cyanobacteria,Chloroplast,,,,HM565910.2287.3749,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
835,OTU835,Bacteria,Cyanobacteria,Chloroplast,,,,HM565911.2962.4423,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
2049,OTU2049,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,uncultured,HM569768.1.1484,g_uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Thalassolituus;
3922,OTU3922,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,HM593102.1.1447,g_Psychrobacter,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
885,OTU885,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,HM798599.1.1491,f_SAR86 clade,Bacteria;Proteobacteria;Gammaproteobacteria;SAR86 clade;
957,OTU957,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HM799123.1.1429,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
2310,OTU2310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,HM800924.1.1495,g_Martelella,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Martelella;
76,OTU76,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163158.1.1317,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
355,OTU355,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,HQ163255.1.1374,f_JL-ETNP-Y6,Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thioglobaceae;SUP05 cluster;
2162,OTU2162,Bacteria,Verrucomicrobia,Arctic97B-4 marine group,,,,HQ163260.1.1400,c_Arctic97B-4 marine group,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Arctic97B-4 marine group;
930,OTU930,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,HQ163320.1.1376,g_NS5 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
45,OTU45,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163443.1.1344,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
1802,OTU1802,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ163761.1.1367,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
2260,OTU2260,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,HQ166794.1.1343,g_Herbiconiux,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;uncultured;
1983,OTU1983,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,HQ166808.1.1359,g_Pseudomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
1298,OTU1298,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,HQ225273.1.1502,g_uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;uncultured;
679,OTU679,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,SAR92 clade,HQ242112.1.1485,g_SAR92 clade,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;SAR92 clade;
2346,OTU2346,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade OCT lineage,HQ242201.1.1427,g_Roseobacter clade OCT lineage,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ascidiaceihabitans;
1708,OTU1708,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum,HQ242261.1.1500,g_Pseudospirillum,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae;Pseudohongiella;
221,OTU221,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ242373.1.1521,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
469,OTU469,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ242379.1.1434,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
2114,OTU2114,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,HQ242389.1.1489,g_NS4 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
462,OTU462,Bacteria,Cyanobacteria,Chloroplast,,,,HQ242617.1.1454,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
131,OTU131,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ242620.1.1275,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
934,OTU934,Bacteria,Cyanobacteria,Chloroplast,,,,HQ242621.1.1446,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1951,OTU1951,Bacteria,Cyanobacteria,Chloroplast,,,,HQ242623.1.1439,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1308,OTU1308,Archaea,Thaumarchaeota,Marine Group I,,,,HQ267240.1.915,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;
1898,OTU1898,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,HQ397070.1.1496,g_Aestuariibacter,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter;
1109,OTU1109,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,HQ529790.1.904,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
644,OTU644,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,HQ529817.1.915,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
782,OTU782,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,HQ529849.1.917,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
3013,OTU3013,Archaea,Thaumarchaeota,Marine Group I,,,,HQ529855.1.916,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;
2724,OTU2724,Archaea,Thaumarchaeota,Marine Group I,,,,HQ529887.1.906,c_Marine Group I,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;
1149,OTU1149,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,HQ541865.1.1460,f_Marine Group II,Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;
848,OTU848,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ652519.1.1341,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
203,OTU203,Bacteria,Cyanobacteria,Chloroplast,,,,HQ671756.1.1446,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1135,OTU1135,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,HQ671780.1.1479,g_Marinoscillum,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Marinoscillum;
859,OTU859,Bacteria,Cyanobacteria,Chloroplast,,,,HQ671790.1.1439,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
883,OTU883,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,NS10 marine group,HQ671808.1.1486,g_NS10 marine group,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;NS10 marine group;
692,OTU692,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,HQ671810.1.1467,g_OM75 clade,Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;
1461,OTU1461,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Balneatrix,HQ671842.1.1493,g_Balneatrix,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;
1186,OTU1186,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Fluviicola,HQ671843.1.1485,g_Fluviicola,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;
98,OTU98,Bacteria,Cyanobacteria,Chloroplast,,,,HQ671891.1.1439,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1698,OTU1698,Bacteria,Chloroflexi,SAR202 clade,,,,HQ671908.1.1429,c_SAR202 clade,Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;
756,OTU756,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ671967.1.1514,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
1432,OTU1432,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,HQ671977.1.1462,g_Magnetospira,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira;
1036,OTU1036,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,HQ671996.1.1459,g_Synechococcus,Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus CC9902;
428,OTU428,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ672002.1.1448,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
648,OTU648,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672013.1.1445,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
317,OTU317,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672023.1.1447,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1690,OTU1690,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672103.1.1445,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
785,OTU785,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672108.1.1451,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1319,OTU1319,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,HQ672169.1.1454,f_OCS155 marine group,Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;
1669,OTU1669,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672204.1.1459,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1258,OTU1258,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672210.1.1440,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
1586,OTU1586,Bacteria,Cyanobacteria,Chloroplast,,,,HQ672216.1.1434,c_Chloroplast,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;
475,OTU475,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672273.1.1437,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
359,OTU359,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ672283.1.1257,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
471,OTU471,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ672328.1.1435,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;
608,OTU608,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ672335.1.1435,f_Surface 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;uncultured;
1097,OTU1097,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HQ672343.1.1480,o_SAR324 clade(Marine group B),Bacteria;SAR324 clade(Marine group B);
903,OTU903,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,HQ672383.1.1501,g_ZD0417 marine group,Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;uncultured;
916,OTU916,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Deep 1,,HQ672388.1.1436,f_Deep 1,Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;
1074,OTU1074,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,HQ672419.1.1520,f_SAR406 clade(Marine group A),Bacteria;Marinimicrobia (SAR406 clade);
